monthavg,2026-04_avg_5
pbanniv,pb_sess_25_10
pbanniv,pb_sess_25_25
pbanniv,pb_sess_25_50
session,150
pbanniv,pb_sess_25_75
pbanniv,pb_sess_25_100
session,200
pbanniv,pb_sess_25_125
hacker,13
pbanniv,pb_sess_25_150
pbanniv,pb_sess_25_175
catch,5
catch,10
catch,15
catch,20
catch,25
catch,30
pbanniv,pb_sess_30_10
session,300
pbanniv,pb_sess_30_25
pbanniv,pb_sess_30_50
pbanniv,pb_sess_30_75
pbanniv,pb_sess_30_100
hacker,22
session,400
pbanniv,pb_sess_30_125
pbanniv,pb_sess_30_150
pbanniv,pb_sess_30_175
pbanniv,pb_sess_30_200
session,500
pbanniv,pb_sess_30_225
pbanniv,pb_sess_30_250
pbanniv,pb_sess_30_275
pbanniv,pb_sess_30_300
session,600
pbanniv,pb_sess_30_325
pbanniv,pb_sess_37_10
pbanniv,pb_sess_37_25
pbanniv,pb_sess_37_50
pbanniv,pb_sess_37_75
session,700
pbanniv,pb_sess_37_100
pbanniv,pb_sess_37_125
pbanniv,pb_sess_37_150
pbanniv,pb_sess_37_175
session,800
catch,40
